"AC";"K";"Laundry";"Total";"Type";"Date"
5880;0;352;45816,7333333333;"Total Series";"2007-01-01"
6562;0;348;21153,9333333333;"Total Series";"2007-01-02"
4765;0;344;16900,9;"Total Series";"2007-01-03"
10896;1051;7597;54323,5333333333;"Total Series";"2007-01-04"
7602;1483;379;45222,7333333333;"Total Series";"2007-01-05"
5678;1336;402;25139,6333333333;"Total Series";"2007-01-06"
12810;1987;8177;40793,6666666667;"Total Series";"2007-01-07"
17547;0;467;37356;"Total Series";"2007-01-08"
9790;1688;4267;31150,9;"Total Series";"2007-01-09"
11012;771;4456;35913,3333333333;"Total Series";"2007-01-10"
12415;1378;2170;37586,5666666667;"Total Series";"2007-01-11"
8276;0;439;24354,9333333333;"Total Series";"2007-01-12"
11341;7806;2975;53113,5666666667;"Total Series";"2007-01-13"
12975;1777;4215;50130,2666666667;"Total Series";"2007-01-14"
15163;1099;2239;35811,3;"Total Series";"2007-01-15"
6583;2063;644;28106,7333333333;"Total Series";"2007-01-16"
16064;3500;5737;47461,4666666667;"Total Series";"2007-01-17"
13491;0;336;30357,7;"Total Series";"2007-01-18"
7172;2103;330;24674;"Total Series";"2007-01-19"
11440;4324;5222;52228,8666666667;"Total Series";"2007-01-20"
11599;10346;5567;56787,7;"Total Series";"2007-01-21"
11361;1054;2983;36341,5666666667;"Total Series";"2007-01-22"
5061;0;1064;29627,3333333333;"Total Series";"2007-01-23"
11744;3464;2480;49797,5666666667;"Total Series";"2007-01-24"
11239;1158;262;26605,7333333333;"Total Series";"2007-01-25"
8238;1163;261;26966,2;"Total Series";"2007-01-26"
12374;1170;3896;34067,8666666667;"Total Series";"2007-01-27"
12045;3466;3997;51503,4;"Total Series";"2007-01-28"
15254;1123;294;33044,4;"Total Series";"2007-01-29"
8149;1123;1424;28463,3;"Total Series";"2007-01-30"
15052;0;5950;39395,8666666667;"Total Series";"2007-01-31"
13145;1170;386;30412,6666666667;"Total Series";"2007-02-01"
11338;0;356;27795,6;"Total Series";"2007-02-02"
17834;4746;4573;67162,0333333333;"Total Series";"2007-02-03"
14472;3391;4597;59932,3333333333;"Total Series";"2007-02-04"
7849;896;2564;27421,3333333333;"Total Series";"2007-02-05"
4517;1185;405;21224,6666666667;"Total Series";"2007-02-06"
11986;3299;3513;38800,3;"Total Series";"2007-02-07"
10157;2226;366;30023,5666666667;"Total Series";"2007-02-08"
9770;0;3045;27003,3;"Total Series";"2007-02-09"
14405;5071;2831;47155,4666666667;"Total Series";"2007-02-10"
13114;2430;4765;59520,4666666667;"Total Series";"2007-02-11"
11517;2227;399;31293,5;"Total Series";"2007-02-12"
6256;0;2828;23575,7666666667;"Total Series";"2007-02-13"
11579;3295;3793;41644,5333333333;"Total Series";"2007-02-14"
14028;0;2363;33089,1;"Total Series";"2007-02-15"
8689;1148;859;28375,4666666667;"Total Series";"2007-02-16"
7157;1765;2226;34615,2;"Total Series";"2007-02-17"
13129;6107;8003;63829,3666666667;"Total Series";"2007-02-18"
13085;1634;2900;36443,5666666667;"Total Series";"2007-02-19"
9713;2058;5191;52498,8;"Total Series";"2007-02-20"
11548;3527;2332;34547,9;"Total Series";"2007-02-21"
12251;1409;4129;56157,9666666667;"Total Series";"2007-02-22"
10786;0;503;21891,3333333333;"Total Series";"2007-02-23"
3562;0;363;11915,3666666667;"Total Series";"2007-02-24"
1660;0;329;8362,33333333333;"Total Series";"2007-02-25"
2830;0;331;9474,73333333333;"Total Series";"2007-02-26"
1924;0;314;8635,2;"Total Series";"2007-02-27"
1973;0;340;8679,56666666667;"Total Series";"2007-02-28"
1980;0;316;8626,06666666667;"Total Series";"2007-03-01"
1969;0;340;8594,8;"Total Series";"2007-03-02"
4597;0;347;13652,0333333333;"Total Series";"2007-03-03"
9408;1476;8711;34845;"Total Series";"2007-03-04"
10026;5727;12109;44338,8666666667;"Total Series";"2007-03-05"
4700;0;1740;20775;"Total Series";"2007-03-06"
15513;1076;4761;39586,7666666667;"Total Series";"2007-03-07"
6655;2180;3385;26202,2;"Total Series";"2007-03-08"
8631;1093;345;21210,2;"Total Series";"2007-03-09"
10979;4130;5422;41411,8666666667;"Total Series";"2007-03-10"
9500;4810;3420;58010,6;"Total Series";"2007-03-11"
12353;1403;2841;32511,1333333333;"Total Series";"2007-03-12"
5323;1350;3859;21502,4;"Total Series";"2007-03-13"
8607;3485;480;29889,4;"Total Series";"2007-03-14"
11036;0;3263;31413,5666666667;"Total Series";"2007-03-15"
5370;1106;4604;28367,5666666667;"Total Series";"2007-03-16"
12275;2208;359;33801,5;"Total Series";"2007-03-17"
5856;6564;7369;39517,4333333333;"Total Series";"2007-03-18"
14118;1648;2686;35875,3;"Total Series";"2007-03-19"
11255;3745;2837;34770,4666666667;"Total Series";"2007-03-20"
12335;1865;4133;35701,5333333333;"Total Series";"2007-03-21"
10462;353;736;24249,6333333333;"Total Series";"2007-03-22"
8369;1127;777;21816,8;"Total Series";"2007-03-23"
16382;3707;5797;49473,8333333333;"Total Series";"2007-03-24"
9358;4630;3600;55602,0666666667;"Total Series";"2007-03-25"
9096;1088;344;23601,3666666667;"Total Series";"2007-03-26"
3697;0;3019;18419;"Total Series";"2007-03-27"
13888;1122;8527;38898,3;"Total Series";"2007-03-28"
10724;1162;460;26506,7666666667;"Total Series";"2007-03-29"
8217;1094;468;23373,2333333333;"Total Series";"2007-03-30"
17682;2620;7707;58491,8333333333;"Total Series";"2007-03-31"
19509;4629;5401;46432,5333333333;"Total Series";"2007-04-01"
16641;1755;970;32679,6333333333;"Total Series";"2007-04-02"
7637;3630;1042;27380,3333333333;"Total Series";"2007-04-03"
14748;3434;420;34197,8;"Total Series";"2007-04-04"
10523;1086;4277;30734,6333333333;"Total Series";"2007-04-05"
9166;0;5466;26685,6666666667;"Total Series";"2007-04-06"
5923;1127;3111;25898,7333333333;"Total Series";"2007-04-07"
3545;0;485;26813,6;"Total Series";"2007-04-08"
3801;2667;514;16682;"Total Series";"2007-04-09"
2572;209;742;12956,0666666667;"Total Series";"2007-04-10"
6421;0;1112;14791,3666666667;"Total Series";"2007-04-11"
1818;0;541;8961,76666666667;"Total Series";"2007-04-12"
1988;0;558;9183,7;"Total Series";"2007-04-13"
2008;0;578;9237,8;"Total Series";"2007-04-14"
2893;0;1026;12102,7333333333;"Total Series";"2007-04-15"
4656;952;1305;15873,1666666667;"Total Series";"2007-04-16"
6199;1532;389;20395,5666666667;"Total Series";"2007-04-17"
3430;1579;355;16637,4333333333;"Total Series";"2007-04-18"
5748;733;1605;17144,3;"Total Series";"2007-04-19"
3499;1069;360;13709,6666666667;"Total Series";"2007-04-20"
11129;6575;463;27894,2666666667;"Total Series";"2007-04-21"
11102;4264;2287;37228,5666666667;"Total Series";"2007-04-22"
6005;1402;506;17576,1;"Total Series";"2007-04-23"
6680;1125;527;17201,6666666667;"Total Series";"2007-04-24"
8812;0;1469;21069,3666666667;"Total Series";"2007-04-25"
7163;1324;1845;21257,7666666667;"Total Series";"2007-04-26"
4756;1772;545;18238,8666666667;"Total Series";"2007-04-27"
0;0;18;378,966666666667;"Total Series";"2007-04-28"
1131;1214;500;7013,7;"Total Series";"2007-04-30"
8546;4005;995;27730,9666666667;"Total Series";"2007-05-01"
3754;7;1490;16724,7666666667;"Total Series";"2007-05-02"
7836;1906;1725;18170,6333333333;"Total Series";"2007-05-03"
3990;2259;538;16635,4666666667;"Total Series";"2007-05-04"
11303;2913;2493;26050,8666666667;"Total Series";"2007-05-05"
10095;3215;949;35035,0666666667;"Total Series";"2007-05-06"
9433;946;4935;27394,4;"Total Series";"2007-05-07"
8777;4581;2011;29821,5333333333;"Total Series";"2007-05-08"
9474;3018;5631;27762,2666666667;"Total Series";"2007-05-09"
3261;946;534;11798,0666666667;"Total Series";"2007-05-10"
6471;926;491;16319,2333333333;"Total Series";"2007-05-11"
10408;2247;1075;24026,1;"Total Series";"2007-05-12"
8958;3612;2414;27245,6333333333;"Total Series";"2007-05-13"
5517;3176;2417;24463,0333333333;"Total Series";"2007-05-14"
5318;0;408;15073,2;"Total Series";"2007-05-15"
9077;2213;5756;28215,7333333333;"Total Series";"2007-05-16"
7687;1014;2073;20530,2666666667;"Total Series";"2007-05-17"
8116;3270;3913;27192,1666666667;"Total Series";"2007-05-18"
7022;4683;530;23824,0333333333;"Total Series";"2007-05-19"
7611;5420;1733;32805,4666666667;"Total Series";"2007-05-20"
9060;0;468;18667,7;"Total Series";"2007-05-21"
3984;931;3966;18880,8666666667;"Total Series";"2007-05-22"
8119;956;3792;24415,6;"Total Series";"2007-05-23"
4746;955;4116;19239,8;"Total Series";"2007-05-24"
6539;8060;586;26903,6666666667;"Total Series";"2007-05-25"
8628;2373;2754;25204,1333333333;"Total Series";"2007-05-26"
10444;4366;5534;35896,8;"Total Series";"2007-05-27"
9586;4554;473;27291,1333333333;"Total Series";"2007-05-28"
4332;0;1907;17689;"Total Series";"2007-05-29"
7804;2250;5948;26831,1;"Total Series";"2007-05-30"
3552;935;477;15642,5;"Total Series";"2007-05-31"
7664;0;483;17415,3;"Total Series";"2007-06-01"
7633;3971;1250;24739,3666666667;"Total Series";"2007-06-02"
8334;4985;7529;35133,7666666667;"Total Series";"2007-06-03"
4533;1585;836;15193,6333333333;"Total Series";"2007-06-04"
6448;4484;1027;24314,8666666667;"Total Series";"2007-06-05"
11663;3329;829;28227,3;"Total Series";"2007-06-06"
3959;985;699;16416,7;"Total Series";"2007-06-07"
11380;2799;11440;35800,7666666667;"Total Series";"2007-06-08"
6590;852;596;17663,5666666667;"Total Series";"2007-06-09"
5983;4202;1924;22346,8666666667;"Total Series";"2007-06-10"
5328;0;487;13244,2333333333;"Total Series";"2007-06-11"
3898;1882;475;15312,7666666667;"Total Series";"2007-06-12"
5216;957;857;15454,5333333333;"Total Series";"2007-06-13"
7054;3322;2147;20984,7333333333;"Total Series";"2007-06-14"
4547;2269;4011;16493,4;"Total Series";"2007-06-15"
11108;3289;4498;33629,3666666667;"Total Series";"2007-06-16"
8734;4124;5038;32451,5;"Total Series";"2007-06-17"
4241;0;529;11307,9;"Total Series";"2007-06-18"
4357;973;535;14039,3333333333;"Total Series";"2007-06-19"
5106;1761;2588;17904,7666666667;"Total Series";"2007-06-20"
3711;932;2400;13449,1;"Total Series";"2007-06-21"
3482;0;951;9438,23333333333;"Total Series";"2007-06-22"
2402;0;786;7959,43333333333;"Total Series";"2007-06-23"
3449;0;791;11910,9333333333;"Total Series";"2007-06-24"
4816;1985;3621;17870,0333333333;"Total Series";"2007-06-25"
5231;971;1334;15748,4666666667;"Total Series";"2007-06-26"
7270;2603;6451;24680,4333333333;"Total Series";"2007-06-27"
9541;0;4368;21590,6333333333;"Total Series";"2007-06-28"
6797;4363;667;21736,6333333333;"Total Series";"2007-06-29"
8376;3049;792;22255,2333333333;"Total Series";"2007-06-30"
4690;969;736;17111,0666666667;"Total Series";"2007-07-01"
3445;1018;5281;16117,2;"Total Series";"2007-07-02"
4695;467;3214;17665,2;"Total Series";"2007-07-03"
5632;2329;2218;16723,5;"Total Series";"2007-07-04"
3973;2922;770;17621,5;"Total Series";"2007-07-05"
4005;2826;3563;17825,4;"Total Series";"2007-07-06"
10177;997;3047;22636,7666666667;"Total Series";"2007-07-07"
5277;1825;2831;18151,3333333333;"Total Series";"2007-07-08"
9386;923;594;19669,3;"Total Series";"2007-07-09"
4631;67;2227;15138,7333333333;"Total Series";"2007-07-10"
5284;1015;647;12039,2;"Total Series";"2007-07-11"
6419;1029;2550;17826,3666666667;"Total Series";"2007-07-12"
4427;0;633;13239,7;"Total Series";"2007-07-13"
6604;3775;1968;21469,5;"Total Series";"2007-07-14"
5585;862;632;15283,7333333333;"Total Series";"2007-07-15"
4176;830;695;14227,9;"Total Series";"2007-07-16"
3335;848;694;11993,8666666667;"Total Series";"2007-07-17"
4628;909;671;12618,0333333333;"Total Series";"2007-07-18"
3130;1068;703;11298,1;"Total Series";"2007-07-19"
4765;2111;2418;18507,0333333333;"Total Series";"2007-07-20"
7756;428;512;17670,8;"Total Series";"2007-07-21"
5563;7091;2136;22929,5666666667;"Total Series";"2007-07-22"
3847;1747;1288;16516,9666666667;"Total Series";"2007-07-23"
5599;0;1607;13754,7333333333;"Total Series";"2007-07-24"
2333;0;151;7876;"Total Series";"2007-07-25"
4346;975;3633;15408,3333333333;"Total Series";"2007-07-26"
7157;1837;49;20041,9;"Total Series";"2007-07-27"
6559;907;10265;27031,0333333333;"Total Series";"2007-07-28"
1288;0;0;5351,93333333333;"Total Series";"2007-07-29"
2528;0;0;7780,26666666667;"Total Series";"2007-07-30"
3575;3277;0;13538,8666666667;"Total Series";"2007-07-31"
9812;1583;0;17672,3;"Total Series";"2007-08-01"
6869;482;0;16990,2666666667;"Total Series";"2007-08-02"
9139;958;0;17722,7333333333;"Total Series";"2007-08-03"
7966;552;398;19083,1666666667;"Total Series";"2007-08-04"
6647;169;0;13118,3;"Total Series";"2007-08-05"
7985;1096;0;18162;"Total Series";"2007-08-06"
9042;437;2168;24726,3333333333;"Total Series";"2007-08-07"
9660;1055;1111;18758,0333333333;"Total Series";"2007-08-08"
6646;182;4515;17861,3333333333;"Total Series";"2007-08-09"
8287;336;2651;17133,5;"Total Series";"2007-08-10"
10339;1180;910;18194,1666666667;"Total Series";"2007-08-11"
8582;1123;1156;20698,4;"Total Series";"2007-08-12"
11101;93;476;19216,8666666667;"Total Series";"2007-08-13"
6256;951;685;15686,5;"Total Series";"2007-08-14"
9787;338;508;19864,3333333333;"Total Series";"2007-08-15"
7476;962;0;15974,9333333333;"Total Series";"2007-08-16"
7769;244;0;16831,5333333333;"Total Series";"2007-08-17"
1830;0;0;5799,33333333333;"Total Series";"2007-08-18"
5989;1025;8912;23704,9;"Total Series";"2007-08-19"
7383;1032;6965;22314,0333333333;"Total Series";"2007-08-20"
3296;0;38;10709,2666666667;"Total Series";"2007-08-21"
7241;3048;1836;20163,4666666667;"Total Series";"2007-08-22"
5342;2502;259;18538,5333333333;"Total Series";"2007-08-23"
9944;1891;3782;27603,5666666667;"Total Series";"2007-08-24"
