"","Date","Sum_GAP","Sum_Others","Sum_Kitchen","Sum_Laundry","Sum_Heater_AC","forecastAC","forecastK","forecastL","forecastTotal","OnlyforecastAC","OnlyforecastK","OnlyforecastL","OnlyforecastTotal"
"1","2007-01-01",45816.7333333333,39584.7333333333,0,352,5880,9392.962585306,1486.09174759974,2040.72896410184,33553.3581222883,NA,NA,NA,NA
"2","2007-01-02",21153.9333333333,14243.9333333333,0,348,6562,9757.62508617927,1573.72064049348,2958.39146600796,35746.5030690951,NA,NA,NA,NA
"3","2007-01-03",16900.9,11791.9,0,344,4765,9634.6146003341,1984.00406839109,3347.58146636438,35895.4129391616,NA,NA,NA,NA
"4","2007-01-04",54323.5333333333,34779.5333333333,1051,7597,10896,8911.5673859944,1541.64934266095,1865.3116649518,33000.529120931,NA,NA,NA,NA
"5","2007-01-05",45222.7333333333,35758.7333333333,1483,379,7602,10115.1955521727,1718.33701225088,2342.16866496132,34746.7709026645,NA,NA,NA,NA
"6","2007-01-06",25139.6333333333,17723.6333333333,1336,402,5678,11023.575472133,2960.01151237069,2924.2095869632,39425.6580781963,NA,NA,NA,NA
"7","2007-01-07",40793.6666666667,17819.6666666667,1987,8177,12810,8941.10839750057,3190.6919566887,3567.65539753917,39143.7641929977,NA,NA,NA,NA
"8","2007-01-08",37356,19342,0,467,17547,8937.8064232092,1575.58311732624,1893.30660971405,32724.9675294325,NA,NA,NA,NA
"9","2007-01-09",31150.9,15405.9,1688,4267,9790,9305.19402063784,1664.78874242646,2807.01959726789,34863.7265144922,NA,NA,NA,NA
"10","2007-01-10",35913.3333333333,19674.3333333333,771,4456,11012,9202.83071572188,2077.39052468851,3196.7976196673,34999.5328028381,NA,NA,NA,NA
"11","2007-01-11",37586.5666666667,21623.5666666667,1378,2170,12415,8518.43196903032,1637.98388491991,1719.5417486943,32133.812468565,NA,NA,NA,NA
"12","2007-01-12",24354.9333333333,15639.9333333333,0,439,8276,9778.24169783255,1818.0869050033,2205.59651517738,33951.1073823262,NA,NA,NA,NA
"13","2007-01-13",53113.5666666667,30991.5666666667,7806,2975,11341,10759.324264681,3063.43612277631,2800.65485406188,38741.1958268491,NA,NA,NA,NA
"14","2007-01-14",50130.2666666667,31163.2666666667,1777,4215,12975,8764.54403162759,3297.80399739698,3460.46323079601,38607.5830536899,NA,NA,NA,NA
"15","2007-01-15",35811.3,17310.3,1099,2239,15163,8861.88518565434,1686.11788226215,1805.25224266039,32369.8279008128,NA,NA,NA,NA
"16","2007-01-16",28106.7333333333,18816.7333333333,2063,644,6583,9340.40119606108,1778.18241116965,2740.23048734518,34716.93010937,NA,NA,NA,NA
"17","2007-01-17",47461.4666666667,22160.4666666667,3500,5737,16064,9356.79823586077,2192.76833763003,3152.69527295247,35081.9285407895,NA,NA,NA,NA
"18","2007-01-18",30357.7,16530.7,0,336,13491,8795.62802581129,1754.1586965454,1698.80478029921,32458.9767553189,NA,NA,NA,NA
"19","2007-01-19",24674,15069,2103,330,7172,10179.7416335606,1933.5683152526,2208.14587539656,34524.723248316,NA,NA,NA,NA
