"Year";"Quarter";"Month";"Sum_GAP";"Sum_Others";"Sum_Kitchen";"Sum_Laundry";"Sum_Heater_AC";"ForecastAC";"ForecasK";"ForecasL";"ForecasALL";"MixAC";"MixK";"MixL";"MixT";"OnlyOrigAC";"OnlyOrigK";"OnlyOrigL";"OnlyOrigGAP";"MonthDate"
"2007";"Winter";"January";1152983,93333333;687110,933333333;56433;79251;330189;NA;NA;NA;NA;330189;56433;79251;1152983,93333333;330189;56433;79251;1152983,93333333;"Jan 2007"
"2007";"Winter";"February";941532,1;559051,1;47584;64623;270274;NA;NA;NA;NA;270274;47584;64623;941532,1;270274;47584;64623;941532,1;"Feb 2007"
"2007";"Winter";"March";976517,4;522849,4;60758;104675;288235;NA;NA;NA;NA;288235;60758;104675;976517,4;288235;60758;104675;976517,4;"Mar 2007"
"2007";"Spring";"April";589552,533333333;317886,533333333;41591;38446;191629;NA;NA;NA;NA;191629;41591;38446;589552,533333333;191629;41591;38446;589552,533333333;"Apr 2007"
"2007";"Spring";"May";733235,833333333;356323,833333333;76235;72151;228526;NA;NA;NA;NA;228526;76235;72151;733235,833333333;228526;76235;72151;733235,833333333;"May 2007"
"2007";"Spring";"June";593688,233333333;274420,233333333;59672;69981;189615;NA;NA;NA;NA;189615;59672;69981;593688,233333333;189615;59672;69981;593688,233333333;"Jun 2007"
"2007";"Summer";"July";496875,833333333;243116,833333333;43052;55734;154973;NA;NA;NA;NA;154973;43052;55734;496875,833333333;154973;43052;55734;496875,833333333;"Jul 2007"
"2007";"Summer";"August";567108,566666667;256355,566666667;35834;49642;225277;NA;NA;NA;NA;225277;35834;49642;567108,566666667;225277;35834;49642;567108,566666667;"Aug 2007"
"2007";"Summer";"September";697305,266666667;344339,266666667;53258;75273;224435;NA;NA;NA;NA;224435;53258;75273;697305,266666667;224435;53258;75273;697305,266666667;"Sep 2007"
"2007";"Fall";"October";823761,8;434392,8;43218;87966;258185;NA;NA;NA;NA;258185;43218;87966;823761,8;258185;43218;87966;823761,8;"Oct 2007"
"2007";"Fall";"November";931919,2;507719,2;50823;73687;299690;NA;NA;NA;NA;299690;50823;73687;931919,2;299690;50823;73687;931919,2;"Nov 2007"
"2007";"Fall";"December";1208810,1;690437,1;74090;82927;361356;NA;NA;NA;NA;361356;74090;82927;1208810,1;361356;74090;82927;1208810,1;"Dec 2007"
"2008";"Winter";"January";1085085,43333333;648284,433333333;61761;62876;312164;NA;NA;NA;NA;312164;61761;62876;1085085,43333333;312164;61761;62876;1085085,43333333;"Jan 2008"
"2008";"Winter";"February";824321,533333333;470448,533333333;40192;56685;256996;NA;NA;NA;NA;256996;40192;56685;824321,533333333;256996;40192;56685;824321,533333333;"Feb 2008"
"2008";"Winter";"March";923250,333333333;503926,333333333;62568;79219;277537;NA;NA;NA;NA;277537;62568;79219;923250,333333333;277537;62568;79219;923250,333333333;"Mar 2008"
"2008";"Spring";"April";806624,6;390415,6;47622;70857;297730;NA;NA;NA;NA;297730;47622;70857;806624,6;297730;47622;70857;806624,6;"Apr 2008"
"2008";"Spring";"May";759243,466666667;357227,466666667;53084;58888;290044;NA;NA;NA;NA;290044;53084;58888;759243,466666667;290044;53084;58888;759243,466666667;"May 2008"
"2008";"Spring";"June";717889,9;295839,9;68728;63500;289822;NA;NA;NA;NA;289822;68728;63500;717889,9;289822;68728;63500;717889,9;"Jun 2008"
"2008";"Summer";"July";587681,866666667;269758,866666667;47313;43553;227057;NA;NA;NA;NA;227057;47313;43553;587681,866666667;227057;47313;43553;587681,866666667;"Jul 2008"
"2008";"Summer";"August";207358,166666667;101980,166666667;3873;23068;78437;NA;NA;NA;NA;78437;3873;23068;207358,166666667;78437;3873;23068;207358,166666667;"Aug 2008"
"2008";"Summer";"September";711978,2;328971,2;51856;44666;286485;NA;NA;NA;NA;286485;51856;44666;711978,2;286485;51856;44666;711978,2;"Sep 2008"
"2008";"Fall";"October";846871,666666667;462986,666666667;44613;63251;276021;NA;NA;NA;NA;276021;44613;63251;846871,666666667;276021;44613;63251;846871,666666667;"Oct 2008"
"2008";"Fall";"November";997300,166666667;603660,166666667;58067;55858;279715;NA;NA;NA;NA;279715;58067;55858;997300,166666667;279715;58067;55858;997300,166666667;"Nov 2008"
"2008";"Fall";"December";948320,866666667;555511,866666667;45107;39456;308246;NA;NA;NA;NA;308246;45107;39456;948320,866666667;308246;45107;39456;948320,866666667;"Dec 2008"
"2009";"Winter";"January";1046638,43333333;570483,433333333;74650;72984;328521;NA;NA;NA;NA;328521;74650;72984;1046638,43333333;328521;74650;72984;1046638,43333333;"Jan 2009"
"2009";"Winter";"February";838851,066666667;444336,066666667;47099;50681;296735;NA;NA;NA;NA;296735;47099;50681;838851,066666667;296735;47099;50681;838851,066666667;"Feb 2009"
"2009";"Winter";"March";912903;470697;64645;48348;329213;NA;NA;NA;NA;329213;64645;48348;912903;329213;64645;48348;912903;"Mar 2009"
"2009";"Spring";"April";817095,366666667;404128,366666667;54506;52650;305811;NA;NA;NA;NA;305811;54506;52650;817095,366666667;305811;54506;52650;817095,366666667;"Apr 2009"
"2009";"Spring";"May";755282,833333333;349871,833333333;43047;50094;312270;NA;NA;NA;NA;312270;43047;50094;755282,833333333;312270;43047;50094;755282,833333333;"May 2009"
"2009";"Spring";"June";561477,733333333;239249,733333333;31885;29789;260554;NA;NA;NA;NA;260554;31885;29789;561477,733333333;260554;31885;29789;561477,733333333;"Jun 2009"
