"","holiday","ds"
"1","lessimporant",2013-07-12
"2","lessimporant",2014-07-12
"3","lessimporant",2014-07-19
"4","lessimporant",2014-07-02
"5","lessimporant",2015-07-11
"6","lessimporant",2016-07-17
"7","lessimporant",2016-07-24
"8","lessimporant",2016-07-07
"9","lessimporant",2016-07-24
"10","superbowl/christmas",2013-01-01
"11","superbowl/christmas",2013-02-03
"12","superbowl/christmas",2013-12-25
"13","superbowl/christmas",2014-01-01
"14","superbowl/christmas",2014-02-01
"15","superbowl/christmas",2014-12-25
"16","superbowl/christmas",2015-01-01
"17","superbowl/christmas",2015-02-02
"18","superbowl/christmas",2015-12-25
"19","superbowl/christmas",2016-01-01
"20","superbowl/christmas",2016-02-07
"21","superbowl/christmas",2016-12-25
"22","superbowl/christmas",2017-01-01
"23","superbowl/christmas",2017-02-05
"24","superbowl/christmas",2017-12-25
